Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
interior-painting,Interior Painting Service,<p>Professional interior painting service with premium coastal-grade paint designed for Florida climate.</p>,First Coast Home Remodeling,Services > Professional Services > IT & Technology,Services,"Painting, Interior, Coastal",true,Service Type,Small Room,,,,,,,,CR_PAINT_001,0.0,,deny,manual,850.00,,false,true,,https://burst.shopifycdn.com/photos/paint-brush-with-white-paint.jpg?width=1500,1,"",false,Interior Painting Service | First Coast Home Remodeling,Professional interior painting with coastal-grade materials,,g,,,active
interior-painting,,,,,,,,,Medium Room,,,,,,,,CR_PAINT_002,0.0,,deny,manual,1350.00,,false,true,,,,,,,,,g,,,
interior-painting,,,,,,,,,Large Room,,,,,,,,CR_PAINT_003,0.0,,deny,manual,2200.00,,false,true,,,,,,,,,g,,,
exterior-painting,Exterior Painting Service,<p>Complete exterior painting service using weather-resistant hurricane-grade paint for coastal conditions.</p>,First Coast Home Remodeling,Services > Professional Services > IT & Technology,Services,"Painting, Exterior, Hurricane-Resistant",true,Service Type,Single Story Small,,,,,,,,CR_EXT_001,0.0,,deny,manual,3500.00,,false,true,,https://burst.shopifycdn.com/photos/house-painting-prep.jpg?width=1500,1,"",false,Exterior Painting Service | First Coast Home Remodeling,Professional exterior painting with coastal-grade materials,,g,,,active
exterior-painting,,,,,,,,,Single Story Medium,,,,,,,,CR_EXT_002,0.0,,deny,manual,5200.00,,false,true,,,,,,,,,g,,,
exterior-painting,,,,,,,,,Two Story Medium,,,,,,,,CR_EXT_003,0.0,,deny,manual,7800.00,,false,true,,,,,,,,,g,,,
exterior-painting,,,,,,,,,Two Story Large,,,,,,,,CR_EXT_004,0.0,,deny,manual,12500.00,,false,true,,,,,,,,,g,,,
flooring-installation,Flooring Installation Service,<p>Professional flooring installation using moisture-resistant materials perfect for Florida climate.</p>,First Coast Home Remodeling,Services > Professional Services > IT & Technology,Services,"Flooring, Installation, Moisture-Resistant",true,Service Type,Laminate Small,,,,,,,,CR_FLOOR_001,0.0,,deny,manual,1800.00,,false,true,,https://burst.shopifycdn.com/photos/hardwood-flooring-tools.jpg?width=1500,1,"",false,Flooring Installation Service | First Coast Home Remodeling,Expert flooring installation with moisture-resistant materials,,g,,,active
flooring-installation,,,,,,,,,Laminate Medium,,,,,,,,CR_FLOOR_002,0.0,,deny,manual,3200.00,,false,true,,,,,,,,,g,,,
flooring-installation,,,,,,,,,Luxury Vinyl Small,,,,,,,,CR_FLOOR_003,0.0,,deny,manual,2100.00,,false,true,,,,,,,,,g,,,
