Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
👍🏼-bundle-service-packages,🎁 Bundle Service Packages,"<div>
<div><span>Bundle packages for lower the cost</span></div>
</div>",Chronapex LLC,Product Add-Ons,Services,"Add-ons, Support, Upgrades",true,Service Type,Startup Launch Bundle,,,,,,,,ADD_UPG_002,0.0,,deny,manual,275.00,,false,true,,https://cdn.shopify.com/s/files/1/0953/1736/0953/files/bundle-packages-illustration-with-brand-color-20a4f3.png?v=1754292107,1,"",false,Add-Ons & Upgrades | Upward Tech IO,Additional services and upgrades for enhanced support and maintenance,,g,,,active
👍🏼-bundle-service-packages,,,,,,,,,Maintenance & Security Bundle,,,,,,,,ADD_UPG_005,0.0,,deny,manual,185.00,,false,true,,,,,,,,,g,,,
👍🏼-bundle-service-packages,,,,,,,,,Enterprise Support Bundle,,,,,,,,ADD_UPG_001,0.0,,deny,manual,450.00,,false,true,,,,,,,,,g,,,
📚-documentation-knowledge-transfer,📚 Documentation & Knowledge Transfer,"<div>
<div><span>Enhance any project with complementary services designed to maximize value, ensure success, and provide ongoing support.</span></div>
</div>",Chronapex LLC,Services > Professional Services > Consulting Services,Services,"Add-ons, Support, Upgrades",true,Service Type,SEO Quick Audit,,,,,,,,ADD_UPG_002,0.0,,deny,manual,85.00,,false,true,,https://cdn.shopify.com/s/files/1/0953/1736/0953/files/documentation-knowledge-transfer-illustration-with-brand-color-20a4f3.png?v=1754282655,1,"",false,Add-Ons & Upgrades | Upward Tech IO,Additional services and upgrades for enhanced support and maintenance,,g,,,active
📚-documentation-knowledge-transfer,,,,,,,,,Performance Optimization Audit,,,,,,,,ADD_UPG_005,0.0,,deny,manual,95.00,,false,true,,,,,,,,,g,,,
📚-documentation-knowledge-transfer,,,,,,,,,Technical Documentation Package,,,,,,,,ADD_UPG_001,0.0,,deny,manual,125.00,,false,true,,,,,,,,,g,,,
📚-documentation-knowledge-transfer,,,,,,,,,Express Integration Setup,,,,,,,,ADD_UPG_003,0.0,,deny,manual,125.00,,false,true,,,,,,,,,g,,,
📚-documentation-knowledge-transfer,,,,,,,,,Analytics Dashboard Setup,,,,,,,,ADD_UPG_004,0.0,,deny,manual,135.00,,false,true,,,,,,,,,g,,,
📚-documentation-knowledge-transfer,,,,,,,,,Security Hardening,,,,,,,,,0.0,,deny,manual,165.00,,false,true,"",,,,,,,,g,,,
📚-documentation-knowledge-transfer,,,,,,,,,Video Tutorial Series,,,,,,,,,0.0,,deny,manual,175.00,,false,true,"",,,,,,,,g,,,
📚-documentation-knowledge-transfer,,,,,,,,,Conversion Optimization Audit,,,,,,,,,0.0,,deny,manual,185.00,,false,true,"",,,,,,,,g,,,
📚-documentation-knowledge-transfer,,,,,,,,,Team Training Session,,,,,,,,,0.0,,deny,manual,250.00,,false,true,"",,,,,,,,g,,,
add-ons-upgrades,🚨 Support & Emergency Services,<p>Additional services and upgrades to enhance your technology solutions and ongoing support.</p>,Chronapex LLC,Services > Professional Services > IT & Technology,Services,"Add-ons, Support, Upgrades",true,Service Type,SSL Certificate & Security Setup,,,,,,,,ADD_UPG_002,0.0,,deny,manual,50.00,,false,true,,https://cdn.shopify.com/s/files/1/0953/1736/0953/files/tech-support-emergency-services-illustration-with-brand-color-20a4f3.png?v=1754282656,1,"",false,Add-Ons & Upgrades | Upward Tech IO,Additional services and upgrades for enhanced support and maintenance,,g,,,active
add-ons-upgrades,,,,,,,,,Emergency Support Call,,,,,,,,ADD_UPG_005,0.0,,deny,manual,75.00,,false,true,,,,,,,,,g,,,
add-ons-upgrades,,,,,,,,,Backup & Recovery Setup,,,,,,,,ADD_UPG_001,0.0,,deny,manual,75.00,,false,true,,,,,,,,,g,,,
add-ons-upgrades,,,,,,,,,Priority Technical Support,,,,,,,,ADD_UPG_003,0.0,,deny,manual,150.00,,false,true,,,,,,,,,g,,,
add-ons-upgrades,,,,,,,,,Weekend/Holiday Rush Service,,,,,,,,ADD_UPG_004,0.0,,deny,manual,200.00,,false,true,,,,,,,,,g,,,
strategy-support,⚡ Emerging Tech & Innovation,"<div>
<div><span>Stay ahead of the curve with cutting-edge AI/ML, blockchain, AR/VR, and IoT solutions. We help you explore and implement emerging technologies that create competitive advantages and drive innovation in your industry.</span></div>
</div>",Chronapex LLC,Services > Professional Services > IT & Technology,Services,"AI, AR, Blockchain, Emerging Tech, Innovation, IoT, ML, VR",true,Service Type,Innovation Workshop,,,,,,,,STR_SUP_001,0.0,,deny,manual,2500.00,,false,true,,https://cdn.shopify.com/s/files/1/0953/1736/0953/files/emerging-tech-innovation-illustration-with-brand-color-20a4f3.png?v=1754281123,1,"",false,Business Strategy & Support Services | Upward Tech IO,Strategic consulting and support services including training and digital transformation,,g,,,active
strategy-support,,,,,,,,,AI Chatbot Integration,,,,,,,,STR_SUP_002,0.0,,deny,manual,3200.00,,false,true,,,,,,,,,g,,,
strategy-support,,,,,,,,,AI/ML Proof of Concept,,,,,,,,STR_SUP_003,0.0,,deny,manual,4500.00,,false,true,,,,,,,,,g,,,
